"taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Arabidopsis thaliana (L.) Heynh.",0.3,1,0.3,0.3
"Arbutus unedo L.",1,2,0.6,0.3
"Artemisia verlotiorum Lamotte",0.3,1,0.3,0.3
"Calluna vulgaris (L.) Hull",0.3,1,0.3,0.3
"Dittrichia graveolens (L.) Greuter",0.3,1,0.3,0.3
"Dittrichia viscosa (L.) Greuter subsp. viscosa",0.3,1,0.3,0.3
"Helianthus pauciflorus Nutt.",0.3,1,0.3,0.3
"Hieracium sabaudum L.",0.3,1,0.3,0.3
"Oxalis pes-caprae L.",0.3,1,0.3,0.3
"Prospero autumnale (L.) Speta",0.3,1,0.3,0.3
"Pulicaria vulgaris Gaertn.",0.3,1,0.3,0.3
"Smilax aspera L.",1,2,0.6,0.3
"Spiranthes spiralis (L.) Chevall.",0.3,1,0.3,0.3
"Sternbergia lutea (L.) Ker Gawl. ex Spreng.",0.3,1,0.3,0.3
