"taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Arabidopsis thaliana (L.) Heynh.",1.2,2,0.8,0.3
"Arbutus unedo L.",3.9,4,2.1,0.3
"Artemisia verlotiorum Lamotte",25.3,3,24.4,0.3
"Calluna vulgaris (L.) Hull",12,3,11,0.3
"Dittrichia graveolens (L.) Greuter",25.3,3,24.4,0.3
"Dittrichia viscosa (L.) Greuter subsp. viscosa",25.3,3,24.4,0.3
"Helianthus pauciflorus Nutt.",1.2,2,0.8,0.3
"Hieracium sabaudum L.",1.2,2,0.8,0.3
"Oxalis pes-caprae L.",1.2,2,0.8,0.3
"Prospero autumnale (L.) Speta",1.2,2,0.8,0.3
"Pulicaria vulgaris Gaertn.",27.3,4,24.4,0.3
"Smilax aspera L.",3.9,4,2.1,0.3
"Spiranthes spiralis (L.) Chevall.",1.2,2,0.8,0.3
"Sternbergia lutea (L.) Ker Gawl. ex Spreng.",1.2,2,0.8,0.3
