"taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Arbutus unedo L.",2.9,2,2.1,0.8
"Artemisia verlotiorum Lamotte",25,2,24.4,0.8
"Calluna vulgaris (L.) Hull",11.7,2,11,0.8
"Cervaria rivinii Gaertn.",0.8,1,0.8,0.8
"Chenopodium opulifolium Schrad. ex W.D.J.Koch & Ziz",0.8,1,0.8,0.8
"Colchicum neapolitanum (Ten.) Ten. subsp. neapolitanum",0.8,1,0.8,0.8
"Cyclamen hederifolium Aiton subsp. hederifolium",18,2,17.3,0.8
"Dittrichia graveolens (L.) Greuter",25,2,24.4,0.8
"Dittrichia viscosa (L.) Greuter subsp. viscosa",25,2,24.4,0.8
"Erica multiflora L. subsp. multiflora",98.8,3,96.7,0.8
"Hedera helix L. subsp. helix",20,4,17.3,0.4
"Helianthus pauciflorus Nutt.",0.8,1,0.8,0.8
"Hieracium sabaudum L.",0.8,1,0.8,0.8
"Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch",0.8,1,0.8,0.8
"Odontites luteus (L.) Clairv. subsp. luteus",0.8,1,0.8,0.8
"Oenothera speciosa Nutt.",97.8,1,97.8,97.8
"Prospero autumnale (L.) Speta",0.8,1,0.8,0.8
"Pulicaria vulgaris Gaertn.",27.1,3,24.4,0.8
"Smilax aspera L.",2.9,2,2.1,0.8
"Spiranthes spiralis (L.) Chevall.",0.8,1,0.8,0.8
"Sternbergia lutea (L.) Ker Gawl. ex Spreng.",0.8,1,0.8,0.8
"Symphyotrichum squamatum (Spreng.) G.L.Nesom",25,2,24.4,0.8
