"taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Arbutus unedo L.",1,2,0.6,0.3
"Artemisia verlotiorum Lamotte",0.3,1,0.3,0.3
"Calluna vulgaris (L.) Hull",0.3,1,0.3,0.3
"Cervaria rivinii Gaertn.",0.3,1,0.3,0.3
"Chenopodium opulifolium Schrad. ex W.D.J.Koch & Ziz",0.3,1,0.3,0.3
"Colchicum neapolitanum (Ten.) Ten. subsp. neapolitanum",0.3,1,0.3,0.3
"Cyclamen hederifolium Aiton subsp. hederifolium",23.4,2,23.1,0.3
"Dittrichia graveolens (L.) Greuter",0.3,1,0.3,0.3
"Dittrichia viscosa (L.) Greuter subsp. viscosa",0.3,1,0.3,0.3
"Erica multiflora L. subsp. multiflora",0.3,1,0.3,0.3
"Hedera helix L. subsp. helix",23.8,3,23.1,0.3
"Helianthus pauciflorus Nutt.",0.3,1,0.3,0.3
"Hieracium sabaudum L.",0.3,1,0.3,0.3
"Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch",0.3,1,0.3,0.3
"Odontites luteus (L.) Clairv. subsp. luteus",0.3,1,0.3,0.3
"Prospero autumnale (L.) Speta",0.3,1,0.3,0.3
"Pulicaria vulgaris Gaertn.",0.3,1,0.3,0.3
"Smilax aspera L.",1,2,0.6,0.3
"Spiranthes spiralis (L.) Chevall.",0.3,1,0.3,0.3
"Sternbergia lutea (L.) Ker Gawl. ex Spreng.",0.3,1,0.3,0.3
"Symphyotrichum squamatum (Spreng.) G.L.Nesom",0.3,1,0.3,0.3
