"taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Allium anzalonei Brullo, Pavone & Salmeri",100,3,94.8,94.6
"Allium savii Parl.",100,3,97.4,75.5
"Anredera cordifolia (Ten.) Steenis",59.8,1,59.8,59.8
"Arabidopsis thaliana (L.) Heynh.",100,67,90.2,27.2
"Arbutus unedo L.",100,100,77.4,17.2
"Artemisia verlotiorum Lamotte",100,15,97.8,41.8
"Callitriche brutia Petagna",100,15,99.6,51.9
"Calluna vulgaris (L.) Hull",100,26,98,5.8
"Ceratonia siliqua L.",100,16,93.7,41.5
"Charybdis maritima (L.) Speta",100,9,94.2,17.6
"Colchicum longifolium Castagne",100,8,97.7,77.9
"Colchicum lusitanum Brot.",100,5,97.4,51.9
"Delairea odorata Lem.",98.7,2,93.9,79
"Dittrichia graveolens (L.) Greuter",100,24,97.8,3.3
"Dittrichia viscosa (L.) Greuter subsp. viscosa",100,76,99.6,5.8
"Dysphania ambrosioides (L.) Mosyakin & Clemants",100,3,97.4,94.6
"Eragrostis curvula (Schrad.) Nees",64.8,4,24.6,21.3
"Euphorbia dendroides L.",100,55,93.9,18.6
"Helianthus pauciflorus Nutt.",97.8,1,97.8,97.8
"Helianthus tuberosus L.",100,8,97.8,41.8
"Hieracium racemosum Waldst. & Kit. ex Willd.",100,20,97.4,4.7
"Hieracium sabaudum L.",100,11,97.8,93.9
"Oxalis pes-caprae L.",100,14,97.8,27.1
"Panicum dichotomiflorum Michx.",98.5,1,98.5,98.5
"Posidonia oceanica (L.) Delile",100,14,94.2,22.2
"Prospero autumnale (L.) Speta",100,27,100,28.3
"Pulicaria vulgaris Gaertn.",100,9,97.8,60
"Salicornia perennans Willd. subsp. perennans",100,21,99.8,33.1
"Smilax aspera L.",100,57,94.8,19.6
"Sorghum bicolor (L.) Moench",51.9,1,51.9,51.9
"Spiranthes spiralis (L.) Chevall.",100,13,97.8,35.7
"Sternbergia colchiciflora Waldst. & Kit.",100,6,97.8,59.7
"Sternbergia lutea (L.) Ker Gawl. ex Spreng.",100,6,97.8,28.3
"Triglochin laxiflora Guss.",77.9,1,77.9,77.9
