"taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Allium savii Parl.",70.8,4,38.3,9.3
"Anredera cordifolia (Ten.) Steenis",100,8,98.7,23.9
"Arabidopsis thaliana (L.) Heynh.",100,8,99.6,23.2
"Arbutus unedo L.",100,141,100,14.1
"Artemisia verlotiorum Lamotte",97.5,4,81.6,13
"Callitriche brutia Petagna",99.9,6,93.3,44.1
"Calluna vulgaris (L.) Hull",100,9,92.5,40.1
"Ceratonia siliqua L.",100,11,93.3,23.9
"Charybdis maritima (L.) Speta",100,6,93.3,50
"Colchicum longifolium Castagne",98,1,98,98
"Crassula muscosa L.",96.2,1,96.2,96.2
"Delairea odorata Lem.",98.1,3,78,69.7
"Dittrichia graveolens (L.) Greuter",100,13,99.3,19.7
"Dittrichia viscosa (L.) Greuter subsp. viscosa",100,54,100,0.8
"Dysphania ambrosioides (L.) Mosyakin & Clemants",99.8,4,95.8,37.1
"Euphorbia dendroides L.",100,13,95.7,16.3
"Gazania rigens (L.) Gaertn.",91.7,2,85.5,42.8
"Helianthus tuberosus L.",100,6,98.7,23.9
"Hieracium sabaudum L.",96.7,2,93.3,50.4
"Hieracium symphytaceum Arv.-Touv.",99.3,1,99.3,99.3
"Lemna minuta Kunth",98.4,4,69.4,51.3
"Oxalis pes-caprae L.",100,46,99.1,23.5
"Panicum dichotomiflorum Michx.",56.5,1,56.5,56.5
"Posidonia oceanica (L.) Delile",100,12,83.1,19.7
"Prospero autumnale (L.) Speta",100,23,99.3,43.6
"Pulicaria vulgaris Gaertn.",90,2,77.9,54.6
"Ranunculus bullatus L.",98.6,4,71.9,57.8
"Salicornia perennans Willd. subsp. perennans",99.8,19,93.8,1
"Smilax aspera L.",100,102,100,0
"Solanum chenopodioides Lam.",99,4,98.7,7.9
"Sorghum bicolor (L.) Moench",94.9,2,93.3,23.9
"Spiranthes spiralis (L.) Chevall.",100,17,98,23.9
"Sternbergia lutea (L.) Ker Gawl. ex Spreng.",100,7,96.9,58.8
"Tradescantia fluminensis Vell.",80.5,1,80.5,80.5
"Triglochin laxiflora Guss.",99.6,5,93.3,43.7
