"taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Arabidopsis thaliana (L.) Heynh.",0.8,1,0.8,0.8
"Arbutus unedo L.",2.9,2,2.1,0.8
"Artemisia verlotiorum Lamotte",25,2,24.4,0.8
"Calluna vulgaris (L.) Hull",11.7,2,11,0.8
"Dittrichia graveolens (L.) Greuter",25,2,24.4,0.8
"Dittrichia viscosa (L.) Greuter subsp. viscosa",25,2,24.4,0.8
"Helianthus pauciflorus Nutt.",0.8,1,0.8,0.8
"Hieracium sabaudum L.",0.8,1,0.8,0.8
"Oxalis pes-caprae L.",0.8,1,0.8,0.8
"Prospero autumnale (L.) Speta",0.8,1,0.8,0.8
"Pulicaria vulgaris Gaertn.",27.1,3,24.4,0.8
"Smilax aspera L.",2.9,2,2.1,0.8
"Spiranthes spiralis (L.) Chevall.",0.8,1,0.8,0.8
"Sternbergia lutea (L.) Ker Gawl. ex Spreng.",0.8,1,0.8,0.8
