"Taxon","longitude","latitude","uncertainty","year"
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.9947752627221,43.6873200839969,564.189583547756,2018
"Helianthus tuberosus L.",11.082728,42.656241,3989.42280401433,2003
"Arbutus unedo L.",11.145667,42.411119,1784.12411615277,1886
"Seseli tortuosum L. subsp. tortuosum",10.268402,43.795227,564.189583547756,2005
"Hedera helix L. subsp. helix",10.3917145729065,43.6327827646592,564.189583547756,2017
"Smilax aspera L.",10.654835,43.083878,564.189583547756,2018
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.205432,42.806514,564.189583547756,2005
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.279155,43.721274,1784.12411615277,1956
"Prospero autumnale (L.) Speta",11.203437,43.356877,1784.12411615277,2018
"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.280677,43.804065,1784.12411615277,1960
"Smilax aspera L.",10.174198,43.992685,1784.12411615277,1980
"Odontites luteus (L.) Clairv. subsp. luteus",10.121353,44.239452,1784.12411615277,1942
"Calluna vulgaris (L.) Hull",10.772138,42.866076,1784.12411615277,1891
"Prospero autumnale (L.) Speta",11.66666,42.76637,1784.12411615277,2008
"Prospero autumnale (L.) Speta",11.168866,42.899181,1784.12411615277,1996
"Prospero autumnale (L.) Speta",10.718286,43.761279,1784.12411615277,1895
"Smilax aspera L.",11.168866,42.899181,1784.12411615277,1996
"Erica multiflora L. subsp. multiflora",10.880507,42.366216,1784.12411615277,1894
"Arbutus unedo L.",11.237049,43.819455,1784.12411615277,1960
"Arbutus unedo L.",9.83688,43.03494,1784.12411615277,1969
"Arbutus unedo L.",11.09516,42.25488,1784.12411615277,1894
"Arbutus unedo L.",11.030505,43.735948,1784.12411615277,1927
"Arbutus unedo L.",10.723068,43.434176,1784.12411615277,1898
"Arbutus unedo L.",11.147525,43.723414,1784.12411615277,1913
"Arbutus unedo L.",11.350775,43.656606,1784.12411615277,1948
"Arbutus unedo L.",10.505467,42.950071,1784.12411615277,1951
"Artemisia verlotiorum Lamotte",10.748933,43.222324,1784.12411615277,2003
"Odontites luteus (L.) Clairv. subsp. luteus",10.748933,43.222324,1784.12411615277,2003
"Arbutus unedo L.",11.046116,43.820191,1784.12411615277,1963
"Erica multiflora L. subsp. multiflora",11.145667,42.411119,1784.12411615277,1843
"Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch",11.103552,43.942612,1784.12411615277,2013
"Colchicum lusitanum Brot.",10.748933,43.222324,1784.12411615277,2003
"Colchicum lusitanum Brot.",10.599424,43.420422,1784.12411615277,2009
"Colchicum lusitanum Brot.",10.62003,43.39917,1784.12411615277,2009
"Prospero autumnale (L.) Speta",10.949922,43.161434,1784.12411615277,2002
"Hieracium racemosum Waldst. & Kit. ex Willd.",10.748933,43.222324,1784.12411615277,2003
"Hieracium sabaudum L.",10.748933,43.222324,1784.12411615277,2003
"Prospero autumnale (L.) Speta",11.117469,43.918497,1784.12411615277,2013
"Oenothera chicaginensis de Vries ex Renner & Cleland",10.295183,43.611198,1784.12411615277,2014
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.373305,44.111875,1784.12411615277,2011
"Dittrichia graveolens (L.) Greuter",10.278816,43.920381,1784.12411615277,1908
"Helianthus tuberosus L.",11.076548,43.91797,1784.12411615277,2002
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.121353,44.239452,1784.12411615277,1942
"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.545816,42.976716,3989.42280401433,1860
"Arbutus unedo L.",10.685166,43.903454,1784.12411615277,1933
"Arbutus unedo L.",10.739804,43.892211,1784.12411615277,1933
"Arbutus unedo L.",11.067555,42.640797,1784.12411615277,1856
"Cyclamen hederifolium Aiton subsp. hederifolium",11.868945,42.9473,1784.12411615277,1998
"Arbutus unedo L.",10.308134,43.714978,1784.12411615277,1951
"Arbutus unedo L.",10.669549,43.711878,1784.12411615277,1951
"Arbutus unedo L.",11.311226,43.78118,1784.12411615277,1932
"Pulicaria vulgaris Gaertn.",10.229307,43.958506,1784.12411615277,1860
"Pulicaria vulgaris Gaertn.",10.334917,43.571273,1784.12411615277,1908
"Arbutus unedo L.",10.168652,42.790527,1784.12411615277,1950
"Arbutus unedo L.",10.168652,42.790527,1784.12411615277,1936
"Arbutus unedo L.",11.145667,42.411119,1784.12411615277,1885
"Arbutus unedo L.",9.90632,43.42786,1784.12411615277,1987
"Arbutus unedo L.",9.89359,43.42789,1784.12411615277,1988
"Arbutus unedo L.",10.923233,43.86874,1784.12411615277,1886
"Arbutus unedo L.",11.145667,42.411119,1784.12411615277,1905
"Arbutus unedo L.",11.218123,43.705315,1784.12411615277,1857
"Arbutus unedo L.",11.09516,42.25488,1784.12411615277,1856
"Arbutus unedo L.",11.160478,42.414856,1784.12411615277,1882
"Arbutus unedo L.",11.09516,42.25488,1784.12411615277,1886
"Arbutus unedo L.",10.901329,42.356387,1784.12411615277,1897
"Arbutus unedo L.",10.901329,42.356387,1784.12411615277,1896
"Arbutus unedo L.",10.901329,42.356387,1784.12411615277,1894
"Odontites luteus (L.) Clairv. subsp. luteus",10.557218,43.707474,1784.12411615277,2009
"Arbutus unedo L.",11.09516,42.25488,1784.12411615277,1882
"Arbutus unedo L.",11.09814,42.25559,1784.12411615277,1959
"Arbutus unedo L.",11.527461,43.836794,1784.12411615277,1872
"Arbutus unedo L.",10.658759,43.688893,1784.12411615277,1951
"Dittrichia graveolens (L.) Greuter",10.748933,43.222324,1784.12411615277,2003
"Arbutus unedo L.",10.751081,43.757561,1784.12411615277,1920
"Euphorbia dendroides L.",10.487928,43.749476,1784.12411615277,2009
"Arbutus unedo L.",11.857417,43.432075,1784.12411615277,1912
"Arbutus unedo L.",11.030505,43.735948,1784.12411615277,1879
"Arbutus unedo L.",10.505467,42.950071,1784.12411615277,1951
