"x"
"Smilax aspera L."
"Dittrichia viscosa (L.) Greuter subsp. viscosa"
"Arbutus unedo L."
"Pulicaria vulgaris Gaertn."
"Oxalis pes-caprae L."
"Euphorbia dendroides L."
"Arabidopsis thaliana (L.) Heynh."
"Spiranthes spiralis (L.) Chevall."
"Ranunculus bullatus L."
"Anredera cordifolia (Ten.) Steenis"
"Dysphania ambrosioides (L.) Mosyakin & Clemants"
"Callitriche brutia Petagna"
"Calluna vulgaris (L.) Hull"
"Prospero autumnale (L.) Speta"
"Dittrichia graveolens (L.) Greuter"
"Posidonia oceanica (L.) Delile"
"Hieracium sabaudum L."
"Solanum chenopodioides Lam."
"Ceratonia siliqua L."
"Delairea odorata Lem."
"Charybdis maritima (L.) Speta"
"Allium savii Parl."
"Triglochin laxiflora Guss."
"Colchicum longifolium Castagne"
"Salicornia perennans Willd. subsp. perennans"
"Helianthus tuberosus L."
"Sternbergia lutea (L.) Ker Gawl. ex Spreng."
"Panicum dichotomiflorum Michx."
"Artemisia verlotiorum Lamotte"
"Lemna minuta Kunth"
"Gazania rigens (L.) Gaertn."
"Crassula muscosa L."
"Hieracium symphytaceum Arv.-Touv."
"Tradescantia fluminensis Vell."
"Sorghum bicolor (L.) Moench"
