"X","Taxon","longitude","latitude","uncertainty","year"
1,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.9947752627221,43.6873200839969,564.189583547756,2018
2,"Helianthus tuberosus L.",11.082728,42.656241,3989.42280401433,2003
3,"Arbutus unedo L.",11.145667,42.411119,1784.12411615277,1886
4,"Smilax aspera L.",10.654835,43.083878,564.189583547756,2018
5,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.205432,42.806514,564.189583547756,2005
6,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.279155,43.721274,1784.12411615277,1956
7,"Prospero autumnale (L.) Speta",11.203437,43.356877,1784.12411615277,2018
8,"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.280677,43.804065,1784.12411615277,1960
9,"Smilax aspera L.",10.174198,43.992685,1784.12411615277,1980
10,"Calluna vulgaris (L.) Hull",10.772138,42.866076,1784.12411615277,1891
11,"Prospero autumnale (L.) Speta",11.66666,42.76637,1784.12411615277,2008
12,"Prospero autumnale (L.) Speta",11.168866,42.899181,1784.12411615277,1996
13,"Prospero autumnale (L.) Speta",10.718286,43.761279,1784.12411615277,1895
14,"Smilax aspera L.",11.168866,42.899181,1784.12411615277,1996
15,"Arbutus unedo L.",11.237049,43.819455,1784.12411615277,1960
16,"Arbutus unedo L.",9.83688,43.03494,1784.12411615277,1969
17,"Arbutus unedo L.",11.09516,42.25488,1784.12411615277,1894
18,"Arbutus unedo L.",11.030505,43.735948,1784.12411615277,1927
19,"Arbutus unedo L.",10.723068,43.434176,1784.12411615277,1898
20,"Arbutus unedo L.",11.147525,43.723414,1784.12411615277,1913
21,"Arbutus unedo L.",11.350775,43.656606,1784.12411615277,1948
22,"Arbutus unedo L.",10.505467,42.950071,1784.12411615277,1951
23,"Artemisia verlotiorum Lamotte",10.748933,43.222324,1784.12411615277,2003
24,"Arbutus unedo L.",11.046116,43.820191,1784.12411615277,1963
25,"Colchicum lusitanum Brot.",10.748933,43.222324,1784.12411615277,2003
26,"Colchicum lusitanum Brot.",10.599424,43.420422,1784.12411615277,2009
27,"Colchicum lusitanum Brot.",10.62003,43.39917,1784.12411615277,2009
28,"Prospero autumnale (L.) Speta",10.949922,43.161434,1784.12411615277,2002
29,"Hieracium racemosum Waldst. & Kit. ex Willd.",10.748933,43.222324,1784.12411615277,2003
30,"Hieracium sabaudum L.",10.748933,43.222324,1784.12411615277,2003
31,"Arabidopsis thaliana (L.) Heynh.",11.100882,42.252801,1784.12411615277,2000
32,"Prospero autumnale (L.) Speta",11.117469,43.918497,1784.12411615277,2013
33,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.373305,44.111875,1784.12411615277,2011
34,"Dittrichia graveolens (L.) Greuter",10.278816,43.920381,1784.12411615277,1908
35,"Helianthus tuberosus L.",11.076548,43.91797,1784.12411615277,2002
36,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.121353,44.239452,1784.12411615277,1942
37,"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.545816,42.976716,3989.42280401433,1860
38,"Arbutus unedo L.",10.685166,43.903454,1784.12411615277,1933
